date,instance_usage,cpu_usage,mem_usage,MISC_usage,P100_usage,T4_usage,V100_usage,V100M32_usage,MISC_mem_usage,P100_mem_usage,T4_mem_usage,V100_mem_usage,V100M32_mem_usage
2020-07-01 00:00:00,596.0,34497984302.560974,1479309903.0594668,971970140.6114852,5217280357.329253,104125796.83429366,451610399.1775286,0.0,168859117.1166282,689165512.4873047,20956001.887227263,86016963.42111558,0.0
2020-07-01 00:05:00,596.0,34497984302.560974,1479309903.0594668,971970140.6114852,5217280357.329253,104125796.83429366,451610399.1775286,0.0,168859117.1166282,689165512.4873047,20956001.887227263,86016963.42111558,0.0
2020-07-01 00:10:00,596.0,34497984302.560974,1479309903.0594668,971970140.6114852,5217280357.329253,104125796.83429366,451610399.1775286,0.0,168859117.1166282,689165512.4873047,20956001.887227263,86016963.42111558,0.0
2020-07-01 00:15:00,596.0,34497984302.560974,1479309903.0594668,971970140.6114852,5217280357.329253,104125796.83429366,451610399.1775286,0.0,168859117.1166282,689165512.4873047,20956001.887227263,86016963.42111558,0.0
2020-07-01 00:20:00,596.0,34497984302.560974,1479309903.0594668,971970140.6114852,5217280357.329253,104125796.83429366,451610399.1775286,0.0,168859117.1166282,689165512.4873047,20956001.887227263,86016963.42111558,0.0
2020-07-01 00:25:00,596.0,34497984302.560974,1479309903.0594668,971970140.6114852,5217280357.329253,104125796.83429366,451610399.1775286,0.0,168859117.1166282,689165512.4873047,20956001.887227263,86016963.42111558,0.0
2020-07-01 00:30:00,596.0,34497984302.560974,1479309903.0594668,971970140.6114852,5217280357.329253,104125796.83429366,451610399.1775286,0.0,168859117.1166282,689165512.4873047,20956001.887227263,86016963.42111558,0.0
2020-07-01 00:35:00,596.0,34497984302.560974,1479309903.0594668,971970140.6114852,5217280357.329253,104125796.83429366,451610399.1775286,0.0,168859117.1166282,689165512.4873047,20956001.887227263,86016963.42111558,0.0
2020-07-01 00:40:00,596.0,34497984302.560974,1479309903.0594668,971970140.6114852,5217280357.329253,104125796.83429366,451610399.1775286,0.0,168859117.1166282,689165512.4873047,20956001.887227263,86016963.42111558,0.0
2020-07-01 00:45:00,596.0,34497984302.560974,1479309903.0594668,971970140.6114852,5217280357.329253,104125796.83429366,451610399.1775286,0.0,168859117.1166282,689165512.4873047,20956001.887227263,86016963.42111558,0.0
2020-07-01 00:50:00,596.0,34497984302.560974,1479309903.0594668,971970140.6114852,5217280357.329253,104125796.83429366,451610399.1775286,0.0,168859117.1166282,689165512.4873047,20956001.887227263,86016963.42111558,0.0
2020-07-01 00:55:00,597.4533333333334,34603233225.90357,1485243358.1420832,972151653.2143945,5217280357.329253,104125796.83429366,458933283.50427777,0.0,168921475.9377187,689165512.4873047,20956001.887227263,86678765.90861557,0.0
2020-07-01 01:00:00,600.7633333333333,35626458816.04848,1519696455.9399734,972385872.4320958,5217280357.329253,104125796.83429366,542798359.8336527,0.0,169002088.69670632,689165512.4873047,20956001.887227263,93899503.70748276,0.0
2020-07-01 01:05:00,605.3333333333334,35829180081.005226,1524697123.032462,972385872.4320958,5217280357.329253,105402163.44485532,555590514.7492913,0.0,169002088.69670632,689165512.4873047,21073895.54510487,94944428.56564684,0.0
2020-07-01 01:10:00,608.1933333333334,35865405807.08386,1525850465.1149836,972385872.4320958,5217280357.329253,106189812.13234451,555590514.7492913,0.0,169002088.69670632,689165512.4873047,21146449.5190632,94944428.56564684,0.0
2020-07-01 01:15:00,618.56,36247929134.67293,1546636872.992056,972385872.4320958,5217280357.329253,106189812.13234451,555590514.7492913,0.0,169048561.85855854,689165512.4873047,21146449.5190632,94944428.56564684,0.0
2020-07-01 01:20:00,642.5,37497538964.724304,1578478098.4584875,972385872.4320958,5217280357.329253,106189812.13234451,555590514.7492913,0.0,169195258.84075254,689165512.4873047,21146449.5190632,94944428.56564684,0.0
2020-07-01 01:25:00,646.0,37698011250.760994,1582967434.7538314,972385872.4320958,5217280357.329253,106189812.13234451,555590514.7492913,0.0,169215956.1322532,689165512.4873047,21146449.5190632,94944428.56564684,0.0
2020-07-01 01:30:00,646.62,37701444599.24163,1583543299.282448,972825559.7506034,5217280357.329253,106189812.13234451,555590514.7492913,0.0,169235589.91988993,689165512.4873047,21146449.5190632,94944428.56564684,0.0
2020-07-01 01:35:00,647.0,37703548909.60073,1583896248.5096648,973095045.5264628,5217280357.329253,106189812.13234451,555590514.7492913,0.0,169247623.53166726,689165512.4873047,21146449.5190632,94944428.56564684,0.0
2020-07-01 01:40:00,647.0,37703548909.60073,1583896248.5096648,973095045.5264628,5217280357.329253,106189812.13234451,555590514.7492913,0.0,169247623.53166726,689165512.4873047,21146449.5190632,94944428.56564684,0.0
2020-07-01 01:45:00,647.5933333333332,37711411716.20783,1584435294.0731924,973095045.5264628,5217280357.329253,106558140.12910394,555590514.7492913,0.0,169247623.53166726,689165512.4873047,21157531.717363983,94944428.56564684,0.0
2020-07-01 01:50:00,650.19,37758918373.94201,1588295595.0175476,979089966.312807,5218551360.240739,106810589.65497276,555590514.7492913,0.0,169613396.94456765,689306926.6191666,21165127.38136789,94944428.56564684,0.0
2020-07-01 01:55:00,655.7533333333333,37849060104.30148,1594616325.906417,984828812.0509005,5243015177.408402,106810589.65497276,566561960.528766,0.0,169962848.87346414,691996476.0030078,21165127.38136789,96044768.54107653,0.0
2020-07-01 02:00:00,657.0,37867961624.24124,1595598570.9165244,984828812.0509005,5253062131.565015,106810589.65497276,567180070.1501449,0.0,169962848.87346414,693094613.9560547,21165127.38136789,96106759.52560776,0.0
