date,instance_request,cpu_request,mem_request,MISC_request,P100_request,T4_request,V100M32_request,V100_request
2020-07-01 00:00:00,7404.996666666667,238766477582.3333,8788818609.314817,13743698257.000002,8161887659.333333,1867316105.3333333,687875200.0,2033857700.0
2020-07-01 00:05:00,7144.739999999999,238471689304.0,8783428113.927084,13738767114.16667,8157767223.333333,1855396702.5,687875200.0,2028996500.0
2020-07-01 00:10:00,7015.743333333334,238182492715.0,8784827463.078476,13756754261.0,8151471323.666667,1837957231.8333333,687875200.0,2021416726.6666665
2020-07-01 00:15:00,6769.18,237443963398.6667,8768627386.480835,13748563931.333334,8149129966.666667,1817854025.1666665,687875200.0,1992014163.0
2020-07-01 00:20:00,6506.086666666666,235796209127.3333,8620183372.605494,13724778990.833332,8012176545.0,1767801515.1666665,687875200.0,1986952000.0
2020-07-01 00:25:00,6363.096666666668,234202373419.0,8503281516.673099,13710826440.833334,7611929398.0,1748228962.6666667,687875200.0,1986604986.6666667
2020-07-01 00:30:00,6240.250000000001,233627764052.3333,8476949866.896054,13709868680.666668,7515713350.0,1735635120.1666665,687875200.0,1978944000.0
2020-07-01 00:35:00,6184.85,233818105734.6667,8502767340.40276,13727341680.583334,7515713350.0,1720830124.5,687875200.0,1978944000.0
2020-07-01 00:40:00,6209.586666666666,234225583275.3333,8530962160.470573,13747603082.416668,7515713350.0,1720263898.3333333,645335061.3333334,1971232720.0
2020-07-01 00:45:00,6179.246666666667,233763834428.6667,8522955114.679584,13743051455.666668,7515473810.0,1713293506.3333335,591920000.0,1966262560.0
2020-07-01 00:50:00,6129.966666666666,231225228132.0,8456960854.89086,13740436598.749998,7513511502.0,1619246036.3333335,591920000.0,1959298000.0
2020-07-01 00:55:00,6068.433333333333,230099043131.3333,8426764350.623307,13767107395.5,7501298500.0,1582013744.1666665,591920000.0,1979221392.0
2020-07-01 01:00:00,5892.9800000000005,230000759179.3333,8404530839.960467,13756580798.166666,7491747050.0,1591978599.8333335,591920000.0,2192849856.0
2020-07-01 01:05:00,5781.546666666667,229419299156.66663,8385191153.209454,13765867709.916668,7479104254.666667,1593787796.1666665,591920000.0,2200854853.333333
2020-07-01 01:10:00,5668.420000000001,229206716268.6667,8382366308.087864,13770759386.999996,7467118570.0,1602338373.0000002,591920000.0,2183450080.0
2020-07-01 01:15:00,5558.493333333333,229290477020.66663,8362487000.042344,13755732418.56667,7426054026.666666,1668713620.8,591920000.0,2141892800.0
2020-07-01 01:20:00,5722.866666666667,229998056049.0,8381565390.078451,13741070329.866669,7376765100.0,1692019461.75,591920000.0,2141892800.0
2020-07-01 01:25:00,5778.500000000001,229736139663.6667,8375833055.116015,13722500965.666666,7376765100.0,1703402295.3333333,591920000.0,2141892800.0
2020-07-01 01:30:00,5817.849999999999,229377809834.6667,8366857768.852942,13703292598.500002,7375010966.666667,1706412742.6666665,591920000.0,2141892800.0
2020-07-01 01:35:00,5733.043333333332,228163155158.6667,8300953429.300884,13629814099.666666,7356525100.0,1702240142.1666667,591920000.0,2141892800.0
2020-07-01 01:40:00,5474.316666666668,226736467938.0,8261503874.996094,13602070806.166666,7321957666.666667,1698897542.6666665,591920000.0,2141892800.0
2020-07-01 01:45:00,5499.343333333333,226922082230.3333,8276116484.489583,13612588242.166668,7313495100.0,1704599731.6666665,591920000.0,2141815952.0
2020-07-01 01:50:00,5490.833333333333,228864024907.00003,8359594672.780599,13668837040.0,7315225242.0,1703245196.6666667,591920000.0,2140932200.0
2020-07-01 01:55:00,5457.286666666667,231362957201.6667,8450533425.287955,13716753616.75,7342720984.333334,1704777625.6666667,591920000.0,2153905458.666667
2020-07-01 02:00:00,5500.223333333332,231326751396.0,8439043649.958333,13704531704.5,7352663900.0,1703387210.5833333,591920000.0,2152542540.0
2020-07-01 02:05:00,5665.86,236933000498.3333,8569666857.347656,13838190918.916668,7351463353.333333,1701232866.8333333,591920000.0,2151825600.0
2020-07-01 02:10:00,5659.926666666667,237177884536.3333,8567357040.804687,13833948213.083334,7351377600.0,1701790645.0,591920000.0,2151825600.0
2020-07-01 02:15:00,5626.66,236006288035.3333,8540873573.797135,13781403583.916668,7351054913.333333,1703868970.3333335,591920000.0,2151825600.0
2020-07-01 02:20:00,5486.56,232876528298.0,8472256314.632031,13660031158.916666,7345761396.0,1711492789.3333335,591920000.0,2151825600.0
2020-07-01 02:25:00,5572.13,232913359072.0,8479173038.041667,13688602388.333334,7334693344.0,1727956794.5,591920000.0,2151825600.0
2020-07-01 02:30:00,5548.386666666666,228652157602.13333,8405101567.376862,13565495837.9,7324099631.0,1727791223.3333333,591920000.0,2151825600.0
2020-07-01 02:35:00,5470.1833333333325,225150756126.0,8338666727.179752,13467324630.916666,7313481413.0,1724643721.0,591920000.0,2151825600.0
2020-07-01 02:40:00,5477.203333333334,223495961438.66663,8291945649.662109,13357378393.499998,7290788260.666667,1712382367.3333333,591920000.0,2181983146.6666665
2020-07-01 02:45:00,5574.916666666668,220425988759.8333,8150105692.783477,13268836290.083334,7258506586.0,1639305105.0,591920000.0,2194834425.0
2020-07-01 02:50:00,5353.426666666667,220569398975.66663,8136776325.7630205,13233606259.083334,7257056830.666667,1610941841.3333333,591920000.0,2169501338.0
2020-07-01 02:55:00,5405.886666666666,220548961322.3333,8128664056.273932,13235262203.083332,7256801400.0,1617202392.6666667,591920000.0,2157171904.0
2020-07-01 03:00:00,5560.126666666667,220890387002.66663,8170582088.580989,13292335315.0,7256801400.0,1619704520.3333333,591920000.0,2082104920.0
