date,instance_request_count,cpu_request,mem_request,instance_processing_count,cpu_avg_usage,mem_avg_usage
2000-01-01 00:00:00,3169.16666666667,441297.916666667,1292.07383333333,1127,90478.5666666667,402.881833333333
2000-01-01 00:01:00,3051.71666666667,414202.25,1409.08716666667,1660.61666666667,101086.75,866.463333333332
2000-01-01 00:02:00,2849.76666666667,394859.75,1295.0605,1345.98333333333,81390.3666666667,582.621333333334
2000-01-01 00:03:00,2504.48333333333,359994.5,1250.95366666667,833.716666666667,68688.35,140.295166666667
2000-01-01 00:04:00,2198.71666666667,339796.666666667,974.251333333333,666.883333333333,64225.2666666667,142.092166666667
2000-01-01 00:05:00,2534.88333333333,354289.333333333,1040.98416666667,1085.23333333333,96370.5,231.507166666667
2000-01-01 00:06:00,2950.15,397351.083333333,1321.71033333333,1179.78333333333,90984.25,253.747833333334
2000-01-01 00:07:00,6065.35,524202.833333333,2507.43533333333,1562.63333333333,102205.833333333,419.864
2000-01-01 00:08:00,11022.3166666667,766257.666666667,3206.79133333333,1313.93333333342,99692.3666666667,271.290833333333
2000-01-01 00:09:00,4353.66666666667,452369.333333333,1571.73066666667,1056.23333333333,56080.2,334.140166666667
2000-01-01 00:10:00,5333.4,458454.5,2127.984,2376.66666666667,133901.566666667,1248.2075
2000-01-01 00:11:00,4413.06666666667,281772.333333333,1693.4005,1451.66666666667,98986.4000000001,968.476666666664
2000-01-01 00:12:00,21554.1833333333,1948035.33333333,8680.16266666667,2118.63333333333,95019,775.353166666665
2000-01-01 00:13:00,21578.0666666667,1993641.5,8423.29533333333,3365.18333333333,148455.816666667,382.064666666668
2000-01-01 00:14:00,27745.7166666667,2361375.25,11589.4053333333,6061.16666666663,212693.783333333,1253.6415
2000-01-01 00:15:00,32600.8,2863821.75,14120.5351666667,4292.71666666666,176291.966666667,910.868666666664
2000-01-01 00:16:00,23033.55,2096602.75,9516.48483333334,4827.35000000018,304330.683333332,860.193999999985
2000-01-01 00:17:00,22119.7,1953093.25,9083.54883333333,3547.39999999999,264951.733333333,712.601499999995
2000-01-01 00:18:00,14106.5166666667,998047.166666667,6410.48066666667,3455.53333333333,292262.016666667,993.960166666667
2000-01-01 00:19:00,14196.9666666667,830079.5,7256.3635,5961.75,369718.966666667,1989.26233333333
2000-01-01 00:20:00,21139.1,1320373.41666667,11271.1971666667,10118.8,321884.733333333,2485.87183333333
2000-01-01 00:21:00,16661.8166666667,1087912.5,8867.02,7072.06666666666,254754.816666667,2244.33216666666
2000-01-01 00:22:00,14523.2333333333,979783,7634.23516666667,5100.48333333333,196867.75,2054.68399999999
2000-01-01 00:23:00,32969.8833333333,1938771.75,15045.8415,6695.38333333333,287698.583333333,2299.98299999999
2000-01-01 00:24:00,32739.95,1913735.16666667,14932.9595,5321.98333333333,176651.4,2294.18116666666
2000-01-01 00:25:00,32750.7333333333,1983859.16666667,14982.4233333333,4661.01666666667,151573.383333333,2249.19233333333
2000-01-01 00:26:00,31491.8166666667,1860344.66666667,14310.6108333333,3275.11666666667,116840.883333333,1673.71516666666
2000-01-01 00:27:00,29280.1,1683379.33333333,13147.81,2929.28333333333,134620.25,1347.87916666666
2000-01-01 00:28:00,26809.3666666667,1471530.16666667,11892.4356666667,4911.01666666667,319456.1,3439.51566666667
2000-01-01 00:29:00,25398.5333333333,1339051.08333333,11151.6358333333,3997.93333333333,234064.75,2925.65466666666
2000-01-01 00:30:00,24565.15,1299114.66666667,10658.4493333333,3403.5,213120.666666667,2303.14550000001
2000-01-01 00:31:00,23493.4166666667,1243660.75,10084.7725,2164.83333333333,135949.05,1290.14683333334
2000-01-01 00:32:00,23040.4166666667,1214614.5,9824.43383333333,1418.06666666667,104164.966666667,995.518333333337
2000-01-01 00:33:00,23049.7166666667,1212762.91666667,9854.80033333334,820.216666666667,51215,531.082666666667
2000-01-01 00:34:00,30556.65,1996445.16666667,12385.0193333333,2876.56666666668,207555.733333333,425.535833333334
2000-01-01 00:35:00,23037.95,1270077,10087.8098333333,2022.15000000002,153642.6,303.193333333335
2000-01-01 00:36:00,23478.7333333333,1300214.25,10289.2738333333,1304.21666666667,98613.9166666668,437.085166666667
2000-01-01 00:37:00,25188.1166666667,1374280,11108.5848333333,1831.8,124515.733333333,387.7285
2000-01-01 00:38:00,24396.7333333333,1318984.91666667,10763.4651666667,757,42107.3666666667,303.112
2000-01-01 00:39:00,22947.8833333333,1237644,9481.98700000001,1816.83333333333,30973.2833333333,699.405666666674
2000-01-01 00:40:00,33907.5833333333,2385403.91666667,13760.888,2609.56666666667,86089.9999999999,892.02183333334
2000-01-01 00:41:00,32163.0666666667,2235060.33333333,12961.3946666667,3556.86666666668,118215.75,1293.14800000001
2000-01-01 00:42:00,23624.5833333333,1325326.5,9854.68666666667,2734.2,127252.516666667,798.839333333341
2000-01-01 00:43:00,22029.1166666667,1187516,9079.65783333334,3209.3,185942.166666667,995.835333333337
2000-01-01 00:44:00,22678.6666666667,1241997.33333333,9391.81133333333,3589.65,216237.716666667,1039.67966666667
2000-01-01 00:45:00,24146.7,1310429.16666667,10033.9266666667,4092.55,191931.483333333,1044.67633333334
2000-01-01 00:46:00,24396.8,1288348.33333333,10049.0986666667,4178.63333333333,93852.8,783.612000000003
2000-01-01 00:47:00,24181.5333333333,1276494.25,9935.20783333333,2712.8,46747.4166666667,414.007833333332
2000-01-01 00:48:00,23426.5166666667,1231386,9861.87233333333,1735.43333333333,37283.15,126.868
2000-01-01 00:49:00,36995.7,1871898,18008.485,8927.68333333329,199275.933333334,436.808499999989
